# generation_info:
#   script_name: PyFracVAL
#   timestamp: '2025-05-02T20:32:22.572515'
#   iteration: 1
# simulation_parameters:
#   N: 256
#   Df: 1.8
#   kf: 1.25
#   rp_g: 100.0
#   rp_gstd: 1.0512710963760241
#   tol_ov: 1.0e-06
#   n_subcl_percentage: 0.1
#   ext_case: 0
#   seed: 2454017125
# aggregate_properties:
#   N_particles_actual: 256
#   radius_of_gyration: 1927.971284533501
#   center_of_mass:
#   - 332.3535997352038
#   - -289.28802086770764
#   - 21.482566458256137
 -3.3553039873e+01  -1.8222370174e+01   2.1708491274e+00   1.0554390075e+02
 -1.3618108297e+02   8.2733498741e+01  -1.5773328473e+02   1.0961635284e+02
  1.1011846975e+02  -1.2755509428e+02  -9.3689383699e+01   9.8868260034e+01
  6.4313832887e+01  -2.2800861355e+02  -2.6045171475e+02   1.0112836331e+02
  2.1159783553e+02  -2.5970169857e+02   1.9059191870e+01   1.0231083430e+02
  1.3943521885e+02  -2.7449184453e+02   2.0399204169e+02   9.6752850499e+01
  1.4801654465e+02  -1.1948310466e+02   3.2437086045e+02   9.9696655972e+01
  3.1511755717e+02  -2.4156692306e+02   3.0489778261e+02   1.0816485529e+02
  1.8453460925e+02  -3.0846977392e+02   4.5183624211e+02   9.9485833664e+01
 -7.6443996903e+01  -1.7761319070e+01  -3.3561944279e+02   1.0324795391e+02
 -1.7877779896e+02  -1.7710714305e+02  -3.9257268962e+02   9.4506871537e+01
 -2.7995187495e+02   2.2852377931e+02  -1.1440257721e+02   9.9673868502e+01
 -1.1807984503e+02  -3.2594922030e+02  -4.8916515192e+02   9.3025283963e+01
  1.9579759103e+02  -4.9200345555e+02   3.6719478404e+02   1.0293858057e+02
 -2.4286488452e+02   2.4737049485e+02  -3.1336565618e+02   1.0359184513e+02
 -2.9121146434e+02   4.0298932450e+02  -2.6624279425e+01   9.5953415830e+01
  1.0853340030e+01  -3.6216848922e+02   5.4339076769e+02   1.0406014752e+02
 -2.3880874855e+02  -1.5718443287e+02  -5.8186956316e+02   1.0507753572e+02
 -1.7768397202e+02  -4.2839196634e+02   5.5575747712e+02   9.6151746379e+01
 -3.5932936332e+02  -3.7504864838e+02   5.6210168094e+02   9.3270550810e+01
 -2.7880987637e+02  -5.8677689278e+02   5.2568031884e+02   9.4155554858e+01
 -1.2807606014e+02  -7.0911929775e+02   4.9773456757e+02   1.0198039907e+02
 -2.1953308519e+02   4.7107582161e+02  -2.0226543021e+02   1.0559899664e+02
