w,n,k
61.103992,2.602000,0.216100
64.673970,2.606000,0.215800
68.459415,2.611000,0.220000
72.460549,2.618000,0.223000
76.720297,2.624000,0.226700
81.191880,2.632000,0.230400
85.977809,2.639000,0.234300
90.961115,2.648000,0.240000
96.332556,2.656000,0.244700
101.957237,2.669000,0.251100
107.902524,2.682000,0.251900
114.267281,2.692000,0.253500
120.956098,2.703000,0.255900
127.985961,2.715000,0.257900
135.482461,2.727000,0.257700
143.412377,2.735000,0.256300
151.806049,2.741000,0.260000
160.679108,2.753000,0.268000
170.091919,2.771000,0.269300
180.046471,2.783000,0.263200
190.591852,2.787000,0.263600
201.757526,2.796000,0.273900
213.537720,2.815000,0.279300
226.034640,2.831000,0.278500
239.297433,2.844000,0.279300
253.278856,2.861000,0.283200
268.122837,2.880000,0.282400
283.772030,2.900000,0.284500
300.411921,2.928000,0.276100
